time,unit_impulse,unit_step,rectangular_pulse,sine_wave,cosine_wave,square_wave,triangular_wave,sawtooth_wave,exponential_decay,complex_exponential_real,complex_exponential_imag,gaussian_pulse,sinc_function,chirp_signal,white_noise,impulse_train
0.642,0.0,1.0,0.0,0.9685831611286309,0.2486898871648559,1.0,-0.16000000000000014,-0.5800000000000001,2.652521131114739e-06,0.2486898871648559,0.9685831611286309,0.017724631440177767,0.8725079105991934,0.2140206952759268,0.7313586052451964,0.0
0.643,0.0,1.0,0.0,0.9759167619387475,0.21814324139654212,1.0,-0.14000000000000057,-0.5700000000000003,2.5999976936368024e-06,0.21814324139654212,0.9759167619387475,0.016742581740099332,0.8707787757548163,0.2602227542477296,-0.28997930443448805,0.0
0.644,0.0,1.0,0.0,0.9822872507286884,0.1873813145857261,1.0,-0.11999999999999922,-0.5599999999999996,2.548514289903414e-06,0.1873813145857261,0.9822872507286884,0.015808618705241848,0.8690395185452721,0.30586014888513674,0.35098190335640567,0.0
0.645,0.0,1.0,0.0,0.9876883405951378,0.15643446504023079,1.0,-0.09999999999999964,-0.5499999999999998,2.498050325866635e-06,0.15643446504023079,0.9876883405951378,0.014920786069067842,0.867290179506406,0.35082852871263714,-0.9586953893548135,0.0
0.646,0.0,1.0,0.0,0.9921147013144777,0.1253332335643061,1.0,-0.08000000000000007,-0.54,2.4485856152679845e-06,0.1253332335643061,0.9921147013144777,0.01407718327157483,0.8655307993993666,0.3950247874494859,2.0286922332759696,0.0
0.647,0.0,1.0,0.0,0.99556196460308,0.09410831331851457,1.0,-0.05999999999999872,-0.5299999999999994,2.4001003715636846e-06,0.09410831331851457,0.99556196460308,0.013275965284957045,0.863761419209468,0.43834730252340487,-0.3373120618598925,0.0
0.648,0.0,1.0,0.0,0.9980267284282717,0.06279051952931204,1.0,-0.03999999999999915,-0.5199999999999996,2.352575200009771e-06,0.06279051952931204,0.9980267284282717,0.01251534234122367,0.8619820801450438,0.4806961723290373,1.5361721784823885,0.0
0.649,0.0,1.0,0.0,0.9995065603657315,0.03141075907812891,1.0,-0.019999999999999574,-0.5099999999999998,2.305991089903953e-06,0.03141075907812891,0.9995065603657315,0.011793579567950659,0.8601928236362963,0.5219734506732802,-0.17090908804113872,0.0
0.65,0.0,1.0,0.0,1.0,-9.803364199544708e-16,1.0,0.0,-0.5,2.2603294069810542e-06,-9.803364199544708e-16,1.0,0.011108996538242306,0.8583936913341398,0.5620833778521285,-1.6836063778743628,0.0
0.651,0.0,1.0,0.0,0.9995065603657316,-0.03141075907812732,1.0,0.019999999999999574,-0.4900000000000002,2.2155718859590755e-06,-0.03141075907812732,0.9995065603657316,0.010459966740865344,0.8565847251090364,0.6009326078079191,-0.03875555391846956,0.0
0.652,0.0,1.0,0.0,0.9980267284282716,-0.062790519529314,1.0,0.040000000000000924,-0.47999999999999954,2.1717006232328283e-06,-0.062790519529314,0.9980267284282716,0.009844916976392443,0.8547659670498283,0.6384304308209429,1.16139479720163,0.0
0.653,0.0,1.0,0.0,0.9955619646030801,-0.09410831331851299,1.0,0.0600000000000005,-0.46999999999999975,2.128698069712273e-06,-0.09410831331851299,0.9955619646030801,0.009262326685055377,0.8529374594625614,0.6744889911961534,-2.568005632458463,0.0
0.654,0.0,1.0,0.0,0.9921147013144778,-0.1253332335643045,1.0,0.08000000000000007,-0.45999999999999996,2.086547023802622e-06,-0.1253332335643045,0.9921147013144778,0.008710727211861743,0.8510992448693059,0.7090234994135169,0.5373667975142944,0.0
0.655,0.0,1.0,0.0,0.987688340595138,-0.1564344650402292,1.0,0.10000000000000142,-0.4499999999999993,2.0452306245234897e-06,-0.1564344650402292,0.987688340595138,0.008188701014374083,0.8492513660069676,0.7419524382197976,0.8486569306477086,0.0
0.656,0.0,1.0,0.0,0.9822872507286887,-0.18738131458572455,1.0,0.120000000000001,-0.4399999999999995,2.0047323447642686e-06,-0.18738131458572455,0.9822872507286887,0.007694880818387471,0.8473938658260974,0.7731977621501509,-0.4625486230603716,0.0
0.657,0.0,1.0,0.0,0.9759167619387471,-0.218143241396544,1.0,0.14000000000000057,-0.4299999999999997,1.9650359846730773e-06,-0.218143241396544,0.9759167619387471,0.0072279487265724356,0.8455267874896908,0.8026850899795727,0.7595415801347555,0.0
0.658,0.0,1.0,0.0,0.9685831611286312,-0.24868988716485435,1.0,0.16000000000000014,-0.41999999999999993,1.926125665176585e-06,-0.24868988716485435,0.9685831611286312,0.006786635284974872,0.8436501743719854,0.8303438896173574,-0.9769389988925008,0.0
